%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.956583,0.94037,0.697171,0.416102,1,not
0.960083,0.943811,0.634631,0.393898,1,not
0.938919,0.923006,0.509244,0.397881,1,not
0.949583,0.901299,0.434555,0.369944,1,not
0.96275,0.946151,0.780159,0.383994,0.811104,not
0.947333,0.947333,0.751333,0.31954,0.661535,not
0.961167,0.961167,0.798257,0.319859,0.751596,not
0.949583,0.949583,0.753118,0.334224,0.710022,not
0.963083,0.932016,0.652411,0.342016,0.73659,not
0.952213,0.952213,0.491977,0.346412,0.768774,not
0.94345,0.881585,0.479458,0.344333,0.913322,not
0.956417,0.956417,0.680839,0.355932,0.724534,not
0.950333,0.902011,0.48322,0.383216,0.990522,not
0.942082,0.785068,0.366365,0.431498,1,not
0.967667,0.91157,0.420725,0.406318,1,not
0.971583,0.836641,0.323861,0.364975,0.813697,not
0.97225,0.861136,0.430568,0.360098,0.841579,not
0.963417,0.805244,0.316346,0.373065,0.788053,not
0.950543,0.892048,0.614197,0.354844,0.755791,not
0.963,0.916403,0.590226,0.33347,0.799778,not
0.969667,0.954027,0.594312,0.344762,0.762578,not
0.950417,0.934836,0.592063,0.334375,0.707663,not
0.951417,0.93582,0.62388,0.328694,0.695308,not
0.959833,0.928871,0.510879,0.336384,0.771246,not
0.963667,0.917778,0.489481,0.340355,0.744061,not
0.952167,0.922869,0.703138,0.350291,0.805327,not
0.955833,0.879974,0.531019,0.37291,0.693103,not
0.956917,0.926538,0.394918,0.40746,0.786244,not
0.941785,0.882923,0.426746,0.398915,0.75084,not
0.968917,0.95401,0.685695,0.420744,0.7132,not
0.969333,0.939042,0.742146,0.395911,0.688697,not
0.954417,0.892841,0.52339,0.431801,0.740421,not
0.961833,0.932238,0.399531,0.446534,0.775323,not
0.969333,0.969333,0.378646,0.439193,0.778376,not
0.949453,0.876418,0.452816,0.420487,0.756879,not
0.959667,0.929201,0.700709,0.412989,0.690026,not
0.808878,0.560822,0.442187,0.298425,0.69243,not
0.95468,0.924372,0.590992,0.341175,0.720245,not
0.959,0.840969,0.649169,0.339344,0.944828,not
0.94796,0.902091,0.626877,0.336882,0.765295,not
0.971833,0.925556,0.431926,0.353519,0.733559,not
0.888116,0.832609,0.555072,0.329401,0.658215,not
0.957917,0.957917,0.726163,0.352984,0.732065,not
0.953083,0.953083,0.59952,0.334563,0.701338,not
0.857413,0.725503,0.593594,0.306323,0.674877,not
0.963417,0.948124,0.795201,0.337487,0.669116,not
0.972,0.972,0.786857,0.349153,0.679945,not
0.954083,0.922802,0.672551,0.358224,0.683314,not
0.96475,0.933119,0.632623,0.358634,0.691954,not
0.968333,0.952715,0.765296,0.333844,0.627586,not
0.957583,0.911249,0.617796,0.338306,0.627011,not
0.966083,0.904745,0.69006,0.350317,0.634257,not
0.972167,0.926596,0.789885,0.333069,0.619763,not
0.959417,0.91373,0.685298,0.323254,0.611338,not
0.963417,0.902247,0.703447,0.332487,0.63997,not
0.969833,0.908257,0.523402,0.333651,0.622053,not
0.9313,0.8479,0.4726,0.326919,0.698851,not
0.952917,0.922177,0.568676,0.332186,0.659195,not
0.95075,0.841648,0.467582,0.336864,0.690462,not
0.956917,0.926048,0.571063,0.338952,0.656705,not
0.965583,0.890147,0.422443,0.344489,0.761772,not
0.949184,0.919051,0.602656,0.316503,0.697004,not
0.95925,0.884309,0.269789,0.336349,0.676179,not
0.961583,0.885267,0.625792,0.328042,0.669639,not
0.96175,0.915952,0.625901,0.323624,0.651803,not
0.96125,0.869702,0.59506,0.32746,0.657391,not
0.913274,0.813384,0.527986,0.337552,0.643493,not
0.951083,0.874383,0.291461,0.338028,0.662505,not
0.953167,0.890664,0.328139,0.338194,0.71167,not
0.963417,0.85637,0.474062,0.328624,0.660072,not
0.95925,0.69623,0.201133,0.356586,0.664329,not
0.958083,0.911724,0.479042,0.339409,0.662261,not
0.958833,0.927903,0.340231,0.341962,0.682118,not
0.955,0.862581,0.400484,0.346855,0.714943,not
0.96,0.913548,0.170323,0.34078,0.706802,not
0.945,0.882,0.48825,0.334944,0.703612,not
0.942867,0.868036,0.613612,0.307619,0.631995,not
0.945902,0.900859,0.435415,0.316931,0.671943,not
0.96675,0.890024,0.383631,0.336799,0.656115,not
0.946011,0.875413,0.564783,0.342,0.628294,not
0.974417,0.943966,0.517659,0.341146,0.640712,not
0.959583,0.928629,0.371452,0.355941,0.663298,not
0.957,0.895258,0.509371,0.336452,0.711494,not
0.95875,0.865968,0.386593,0.342231,0.68046,not
0.968583,0.860963,0.538102,0.349841,0.781801,not
0.953333,0.89082,0.500109,0.343443,0.653358,not
0.97125,0.924254,0.626613,0.345618,0.656868,not
0.95825,0.863996,0.502689,0.338579,0.617378,not
0.971,0.971,0.328887,0.343737,0.673755,not
0.948759,0.889462,0.489204,0.31724,0.669899,not
0.965917,0.904589,0.582616,0.324127,0.621632,not
0.918591,0.831106,0.53949,0.304471,0.572797,not
0.9725,0.957063,0.509405,0.336085,1,not
0.956583,0.894868,0.354862,0.334576,0.662588,not
0.966583,0.966583,0.306852,0.324946,0.704598,not
0.957417,0.895648,0.154422,0.324301,0.615134,not
0.951083,0.857534,0.109141,0.346995,0.722751,not
0.962833,0.854126,0.232944,0.334918,0.663037,not
0.966,0.582667,0.214667,0.329407,0.714176,not
0.9575,0.911169,0.108105,0.332429,0.705295,not
0.961333,0.808741,0.167852,0.317994,0.777395,not
0.923064,0.781054,0.326623,0.326641,0.876823,not
0.966167,0.886973,0.316776,0.343363,0.777087,not
0.947583,0.869913,0.466025,0.333667,0.691873,not
0.878019,0.754548,0.219505,0.31,0.788575,not
0.89925,0.763,0.422375,0.295269,0.73428,not
0.928483,0.752392,0.448233,0.313848,0.992792,not
0.952649,0.909347,0.577363,0.324328,1,not
0.9695,0.939669,0.701023,0.350234,0.949072,not
0.943665,0.873243,0.408452,0.368307,1,not
0.961333,0.815677,0.262182,0.342615,0.759491,not
0.965417,0.792506,0.389049,0.342043,0.799124,not
0.967417,0.952978,0.476489,0.326995,1,not
0.959083,0.930454,0.501014,0.333099,1,not
0.961583,0.946559,0.691138,0.330403,0.907861,not
0.958417,0.928466,0.524134,0.335234,1,not
0.96,0.944762,0.380952,0.33293,1,not
0.966167,0.935,0.4675,0.336806,1,not
0.960333,0.913104,0.440809,0.337186,1,not
0.964167,0.932028,0.5785,0.331444,1,not
0.944417,0.911851,0.521057,0.345086,1,not
0.957917,0.924885,0.528506,0.321111,1,not
0.9575,0.923904,0.453553,0.333576,1,not
0.949333,0.949333,0.535079,0.340772,1,not
0.9525,0.935182,0.536864,0.34261,1,not
0.946833,0.946833,0.60253,0.346821,1,not
0.949667,0.949667,0.5698,0.35897,1,not
0.958333,0.94181,0.528736,0.359912,1,not
0.959083,0.959083,0.495526,0.348592,1,not
0.95,0.933621,0.655172,0.332759,1,not
0.954333,0.954333,0.61948,0.34497,0.904284,not
0.945167,0.927982,0.687394,0.332562,1,not
0.949333,0.949333,0.5696,0.347818,1,not
0.94875,0.914866,0.474375,0.350923,1,not
0.969,0.969,0.656949,0.341469,1,not
0.955,0.938814,0.550339,0.341158,1,not
0.968333,0.902684,0.558023,0.33655,1,not
0.9595,0.926414,0.512836,0.347076,1,not
0.946167,0.929567,0.514582,0.345863,1,not
0.96125,0.845237,0.596638,0.370586,0.983263,not
0.95125,0.917873,0.734298,0.340242,0.766082,not
0.957417,0.891388,0.495216,0.333099,1,not
0.956333,0.857402,0.65954,0.348305,1,not
0.94975,0.88425,0.573125,0.348095,1,not
0.9545,0.888672,0.510164,0.354121,0.903686,not
0.951333,0.85292,0.524874,0.357364,1,not
0.960083,0.893871,0.612467,0.347953,0.99274,not
0.959917,0.893716,0.479958,0.347749,1,not
0.9585,0.842819,0.47925,0.341345,1,not
0.952917,0.920057,0.591466,0.350417,0.977217,not
0.957833,0.90829,0.611032,0.349762,0.828407,not
0.973083,0.874126,0.593746,0.351696,0.953202,not
0.95625,0.95625,0.610022,0.350121,0.980579,not
0.954083,0.921184,0.55929,0.353333,0.871547,not
0.957,0.9405,0.693,0.347708,0.873563,not
0.95475,0.938289,0.658448,0.339885,1,not
0.969,0.936153,0.607678,0.343937,1,not
0.958083,0.941565,0.594672,0.345117,0.946965,not
0.955417,0.922471,0.625963,0.346012,0.829199,not
0.95575,0.906315,0.642659,0.340086,0.969007,not
0.965,0.965,0.499138,0.347798,0.986043,not
0.9435,0.9435,0.595895,0.347456,0.911877,not
0.961667,0.911925,0.547155,0.363247,1,not
0.964167,0.947543,0.681566,0.350936,0.933751,not
0.957167,0.940664,0.627109,0.346579,0.953396,not
0.958917,0.958917,0.677855,0.350977,1,not
0.961583,0.945004,0.663161,0.350117,1,not
0.96675,0.96675,0.650056,0.352098,1,not
0.9685,0.951802,0.58444,0.352701,1,not
0.96725,0.933897,0.533655,0.349971,1,not
0.96575,0.932448,0.682685,0.342241,1,not
0.966667,0.966667,0.566667,0.359167,1,not
0.964,0.947088,0.676491,0.354375,1,not
0.949417,0.93276,0.69957,0.353392,1,not
0.95225,0.95225,0.551303,0.356608,1,not
0.969583,0.969583,0.702112,0.346579,0.950052,not
0.946917,0.913692,0.448539,0.358036,1,not
0.959,0.942175,0.639333,0.340877,1,not
0.958583,0.958583,0.67269,0.34731,1,not
0.9635,0.946888,0.614647,0.349181,1,not
0.9555,0.9555,0.691914,0.339713,1,not
0.961333,0.961333,0.662989,0.335603,1,not
0.964,0.964,0.648207,0.333908,1,not
0.957167,0.957167,0.598229,0.347321,1,not
0.958417,0.958417,0.650354,0.358455,1,not
0.958417,0.889958,0.59901,0.34997,1,not
0.96075,0.96075,0.669094,0.352857,1,not
0.949583,0.949583,0.725136,0.350432,1,not
0.942417,0.924965,0.628278,0.351981,1,not
0.965333,0.965333,0.702061,0.346303,1,not
0.951167,0.951167,0.753755,0.345723,1,not
0.9545,0.9545,0.702368,0.358585,1,not
0.951167,0.915274,0.610182,0.364391,1,not
0.9475,0.9475,0.596574,0.347201,1,not
0.940333,0.940333,0.656459,0.356226,1,not
0.969167,0.969167,0.634364,0.348091,1,not
0.943583,0.943583,0.56615,0.36497,1,not
0.95925,0.924991,0.787955,0.34494,1,not
0.961167,0.926839,0.600729,0.348958,1,not
0.962167,0.962167,0.542312,0.362818,1,not
0.952,0.934691,0.553891,0.359273,1,not
0.956667,0.956667,0.453158,0.360906,1,not
0.952917,0.935591,0.502447,0.359758,1,not
0.956167,0.939092,0.546381,0.369613,1,not
0.954167,0.954167,0.511161,0.363542,1,not
0.9675,0.898393,0.608143,0.351024,0.978654,not
0.964417,0.932269,0.723312,0.358694,0.699168,not
0.962917,0.962917,0.816031,0.33727,0.688862,not
0.96125,0.96125,0.624812,0.354833,1,not
0.959,0.942746,0.520136,0.342119,1,not
0.96,0.96,0.612414,0.3275,1,not
0.95675,0.95675,0.610341,0.32807,1,not
0.9635,0.9635,0.548198,0.34383,1,not
0.953917,0.953917,0.569003,0.342105,1,not
0.96,0.96,0.595862,0.325086,1,not
0.95925,0.95925,0.617822,0.340621,1,not
0.964167,0.947825,0.620989,0.345614,1,not
0.958083,0.958083,0.682025,0.334718,0.975822,not
0.946417,0.946417,0.614341,0.320322,1,not
0.952,0.918596,0.617965,0.334737,1,not
0.961333,0.928184,0.646414,0.332649,1,not
0.96425,0.96425,0.515375,0.315234,1,not
0.961083,0.843056,0.623861,0.335031,1,not
0.945583,0.8105,0.557219,0.323994,1,not
0.950417,0.899501,0.59401,0.330327,1,not
0.9705,0.834289,0.527816,0.333273,1,not
0.959833,0.805574,0.651315,0.324967,0.897989,not
0.959,0.874877,0.672982,0.33761,1,not
0.95125,0.884496,0.684232,0.318827,1,not
0.944333,0.893744,0.623935,0.330818,1,not
0.953083,0.850967,0.697793,0.334583,1,not
0.95875,0.908289,0.605526,0.328626,1,not
0.964167,0.84576,0.625863,0.340731,1,not
0.956,0.819429,0.563357,0.349286,1,not
0.940083,0.837529,0.649512,0.331142,0.993277,not
0.953,0.867911,0.561589,0.338858,1,not
0.962167,0.927804,0.721625,0.334545,0.999574,not
0.966583,0.932063,0.655896,0.32619,1,not
0.961,0.943839,0.549143,0.337411,1,not
0.961917,0.876031,0.876031,0.341394,0.742656,not
0.960583,0.94343,0.754744,0.339364,0.634236,not
0.959917,0.925634,0.771362,0.322262,0.794984,not
0.972583,0.972583,0.938458,0.320614,0.614943,not
0.92223,0.827295,0.379742,0.378946,1,not
0.95675,0.941066,0.690115,0.33525,0.878716,not
0.888099,0.789422,0.62026,0.329639,0.700473,not
0.955417,0.940007,0.585578,0.337097,1,not
0.909602,0.837412,0.563087,0.337381,1,not
0.965583,0.94949,0.563257,0.322602,0.670432,not
0.9665,0.950656,0.570393,0.320678,0.643678,not
0.97075,0.954571,0.679525,0.336523,0.736022,not
0.952469,0.905626,0.702641,0.365694,1,not
0.95825,0.863996,0.675488,0.340611,0.66954,not
0.95875,0.942771,0.751021,0.327845,0.776154,not
0.971083,0.923325,0.668615,0.334583,0.962985,not
0.959083,0.959083,0.764016,0.32661,0.68542,not
0.916169,0.842285,0.709292,0.38418,0.586737,not
0.890107,0.833592,0.579276,0.389308,0.651398,not
0.956333,0.956333,0.799557,0.381366,0.608238,not
0.970917,0.955,0.71625,0.402923,0.607412,not
0.949417,0.933325,0.80459,0.384463,0.585602,not
0.956,0.861967,0.673902,0.434699,0.663086,not
0.95625,0.875212,0.664513,0.398842,0.640309,not
0.964917,0.883144,0.719599,0.403559,0.648115,not
0.95975,0.910108,0.744634,0.384167,0.593364,not
0.956667,0.939583,0.785833,0.401786,0.580146,not
0.952059,0.905237,0.717946,0.416667,0.636398,not
0.948167,0.932364,0.584703,0.410917,0.63608,not
0.926665,0.779576,0.42656,0.398624,0.54698,not
0.964167,0.964167,0.596865,0.411905,0.671943,not
0.950083,0.85814,0.490366,0.412661,0.645291,not
0.97,0.93871,0.688387,0.374863,0.637746,not
0.950583,0.905317,0.694077,0.315212,0.573563,not
0.956083,0.894401,0.755614,0.316749,0.599962,not
0.963083,0.931507,0.773624,0.314344,0.578104,not
0.964,0.964,0.749778,0.304524,0.558046,not
0.97175,0.92473,0.720976,0.331237,0.595753,not
0.953833,0.922039,0.810758,0.332062,0.621086,not
0.952,0.903593,0.629288,0.336893,0.630369,not
0.930806,0.884266,0.636051,0.31475,0.664627,not
0.970167,0.954262,0.779314,0.315628,0.599582,not
0.946833,0.930785,0.738209,0.307994,0.582923,not
0.9545,0.922683,0.699967,0.305556,0.557669,not
0.97225,0.891229,0.453717,0.351667,0.728243,not
0.849899,0.759758,0.489336,0.310359,0.601692,not
0.960167,0.960167,0.758841,0.377957,0.567741,not
0.968583,0.936297,0.758724,0.351361,0.798454,not
0.941667,0.925146,0.446053,0.454766,1,not
0.96025,0.96025,0.182116,0.482155,1,not
0.945167,0.945167,0.198982,0.489298,1,not
0.949917,0.949917,0.0999912,0.509094,1,not
0.960917,0.923234,0.715977,0.35219,0.613103,not
0.94825,0.916106,0.642881,0.480282,1,not
0.95,0.95,0.180172,0.47681,1,not
0.955917,0.955917,0.0329626,0.475718,1,not
0.943667,0.943667,0.0168512,0.475774,1,not
0.951083,0.951083,0.266971,0.45962,1,not
0.957417,0.957417,0.268749,0.453216,1,not
0.95625,0.95625,0.100658,0.448772,1,not
0.95075,0.95075,0.300237,0.45038,1,not
0.9485,0.9485,0.432649,0.460965,1,not
0.949083,0.949083,0.458178,0.452874,1,not
0.953,0.953,0.200632,0.465965,1,not
0.957417,0.957417,0.755855,0.458246,1,not
0.959333,0.959333,0.231563,0.460201,1,not
0.95725,0.95725,0.134351,0.460088,1,not
0.958917,0.958917,0.0168231,0.438801,1,not
0.948167,0.948167,0.169315,0.411756,1,not
0.948833,0.93189,0.203321,0.417182,1,not
0.961917,0.961917,0.446604,0.415417,1,not
0.94675,0.94675,0.0688545,0.429848,1,not
0.949833,0.949833,0.175895,0.416543,1,not
0.948583,0.948583,0.158097,0.418056,1,not
0.950083,0.950083,0.193535,0.408086,1,not
0.9525,0.9525,0.0529167,0.415463,1,not
0.95125,0.95125,0.158542,0.401605,1,not
0.9555,0.9555,0.469064,0.426182,1,not
0.949667,0.949667,0.43966,0.405494,1,not
0.945167,0.945167,0.499333,0.417547,1,not
0.953083,0.953083,0.381233,0.421545,1,not
0.951833,0.951833,0.352531,0.404321,1,not
0.947167,0.947167,0.350802,0.423148,1,not
0.964083,0.964083,0.403162,0.403242,1,not
0.95475,0.95475,0.272786,0.447976,1,not
0.963583,0.963583,0.350394,0.439545,1,not
0.95075,0.95075,0.35213,0.41821,1,not
0.970167,0.952527,0.476264,0.399091,1,not
0.961917,0.961917,0.419745,0.41997,1,not
0.957167,0.939441,0.443133,0.426574,1,not
0.960833,0.960833,0.320278,0.428519,1,not
0.943,0.943,0.338057,0.424403,1,not
0.95575,0.95575,0.460176,0.416883,1,not
0.955333,0.955333,0.459975,0.434167,1,not
0.95725,0.95725,0.33681,0.414475,1,not
0.9585,0.9585,0.3905,0.42466,1,not
0.956167,0.956167,0.318722,0.42534,1,not
0.954083,0.954083,0.371032,0.400988,1,not
0.95475,0.95475,0.3819,0.426182,1,not
0.954,0.954,0.289607,0.460952,1,not
0.950083,0.950083,0.328211,0.415424,1,not
0.9445,0.9445,0.279852,0.438488,1,not
0.961833,0.961833,0.227342,0.435121,1,not
0.955083,0.903918,0.153496,0.458542,1,not
0.946167,0.946167,0.253437,0.425982,1,not
0.946167,0.946167,0.420519,0.437315,1,not
0.95925,0.95925,0.461861,0.42858,1,not
0.95575,0.95575,0.38938,0.436852,1,not
0.962,0.944185,0.409741,0.431975,1,not
0.943667,0.943667,0.344801,0.438173,1,not
0.957833,0.957833,0.397591,0.462799,1,not
0.95275,0.95275,0.403087,0.462468,1,not
0.953,0.953,0.384865,0.473237,1,not
0.965917,0.965917,0.346272,0.463019,1,not
0.959833,0.959833,0.621069,0.422712,1,not
0.956417,0.956417,0.726877,0.451367,1,not
0.956167,0.956167,0.772288,0.431218,1,not
0.95,0.95,0.633333,0.480686,1,not
0.940167,0.940167,0.542404,0.479615,1,not
0.953417,0.953417,0.429972,0.469248,1,not
0.943855,0.926376,0.594279,0.461358,1,not
0.954167,0.936164,0.648113,0.360503,1,not
0.95225,0.95225,0.560147,0.389771,1,not
0.952333,0.935626,0.501228,0.406345,1,not
0.957333,0.939605,0.726864,0.31566,0.866113,not
0.95275,0.842817,0.714562,0.337941,0.915709,not
0.949167,0.877531,0.626808,0.337067,1,not
0.95975,0.9074,0.64565,0.363818,1,not
0.969667,0.91478,0.493981,0.325578,1,not
0.94525,0.872538,0.563514,0.337367,1,not
0.95725,0.921127,0.614085,0.341767,1,not
0.952083,0.915465,0.714063,0.337941,1,not
0.948,0.929769,0.893308,0.292974,0.603566,not
0.940333,0.921895,0.79283,0.300733,0.669716,not
0.949583,0.864799,0.576533,0.347152,0.934014,not
0.945417,0.856226,0.749198,0.316101,0.65473,not
0.961917,0.925618,0.87117,0.327107,0.6271,not
0.938127,0.903382,0.747027,0.344753,0.695615,not
0.947583,0.88334,0.626369,0.368095,0.653761,not
0.95325,0.783027,0.629826,0.380744,0.633621,not
0.947134,0.864052,0.714504,0.359708,0.605566,not
0.946083,0.860076,0.533247,0.354228,0.686102,not
0.953417,0.797403,0.624055,0.371728,0.657262,not
0.955167,0.818714,0.511696,0.388426,0.782445,not
0.946333,0.800744,0.56416,0.390719,0.672414,not
0.949583,0.819248,0.633056,0.398007,0.636172,not
0.952417,0.859042,0.653619,0.4148,0.795132,not
0.957917,0.939495,0.644752,0.391571,0.684571,not
0.958667,0.845882,0.582719,0.407843,0.75524,not
0.938333,0.863267,0.656833,0.388741,0.759354,not
0.964083,0.869565,0.586011,0.382418,0.73428,not
0.950083,0.81968,0.61476,0.390425,0.710575,not
0.961167,0.868747,0.480583,0.400621,0.801609,not
0.956,0.862275,0.506118,0.3818,0.678161,not
0.95025,0.912985,0.782559,0.38183,0.634061,not
0.948417,0.929448,0.644923,0.3676,0.651419,not
0.963583,0.907992,0.648566,0.356218,0.643015,not
0.948917,0.91242,0.656942,0.370064,0.649867,not
0.9465,0.85549,0.618865,0.380128,0.755862,not
0.94875,0.892941,0.669706,0.380261,0.681767,not
0.95575,0.91827,0.749608,0.372876,0.668543,not
0.952417,0.896392,0.634944,0.365131,0.685667,not
0.955417,0.881923,0.606322,0.379412,0.697543,not
0.9405,0.922059,0.571676,0.378268,0.69236,not
0.959417,0.922516,0.738013,0.384776,0.67433,not
0.95,0.912745,0.633333,0.379804,0.668074,not
0.939417,0.920628,0.695168,0.3657,0.674642,not
0.950583,0.932303,0.566694,0.372596,0.678161,not
0.951417,0.878231,0.731859,0.362244,0.643453,not
0.95225,0.897312,0.640937,0.375481,0.64832,not
0.963833,0.852622,0.667269,0.371438,0.663962,not
0.959333,0.921712,0.846471,0.371961,0.687816,not
0.94575,0.908662,0.704676,0.371993,0.658525,not
0.941417,0.869,0.724167,0.373954,0.669319,not
0.957,0.864981,0.570519,0.385425,0.673653,not
0.965417,0.946851,0.724062,0.367628,0.672193,not
0.9485,0.929902,0.725324,0.349133,0.692414,not
0.955833,0.937452,0.716875,0.35984,0.665057,not
0.939667,0.849314,0.524045,0.364038,0.719405,not
0.95675,0.812335,0.631816,0.373782,0.637142,not
0.94,0.921569,0.755686,0.371601,0.667568,not
0.945167,0.908101,0.704242,0.356667,0.646124,not
0.963833,0.872906,0.763792,0.371981,0.681767,not
0.955167,0.883079,0.720881,0.358494,0.665747,not
0.94225,0.887889,0.724808,0.362981,0.656552,not
0.953083,0.915708,0.710141,0.382092,0.670575,not
0.944583,0.926062,0.74085,0.359118,0.649303,not
0.944167,0.944167,0.653654,0.366795,0.65675,not
0.937797,0.921345,0.707461,0.38744,0.66395,not
0.958917,0.863025,0.367585,0.375198,0.704851,not
0.949667,0.851425,0.671316,0.331257,0.727833,not
0.956667,0.869697,0.695758,0.329308,0.826522,not
0.96525,0.911625,0.697125,0.318922,0.695615,not
0.94075,0.8165,0.55025,0.332789,0.86272,not
0.959083,0.904796,0.814316,0.329477,0.716162,not
0.9555,0.919443,0.721132,0.327549,0.88351,not
0.9585,0.904245,0.759566,0.323686,0.886437,not
0.961917,0.887923,0.795431,0.310784,0.79378,not
0.946,0.909615,0.7095,0.317941,0.89491,not
0.954167,0.882154,0.648113,0.330948,0.982195,not
0.955667,0.867179,0.530926,0.31402,0.936782,not
0.932872,0.797182,0.542762,0.334038,1,not
0.95925,0.941486,0.692792,0.336478,0.726617,not
0.943,0.90528,0.71668,0.314218,0.802017,not
0.946333,0.857057,0.53566,0.345867,0.802299,not
0.963083,0.87553,0.752956,0.344686,0.714985,not
0.958,0.889571,0.7185,0.345988,0.677097,not
0.95825,0.823759,0.453908,0.365494,0.735222,not
0.95525,0.894599,0.303254,0.356614,0.675146,not
0.969917,0.818367,0.227324,0.354516,0.69148,not
0.949,0.808984,0.217803,0.31897,0.959478,not
0.955833,0.863333,0.50875,0.250113,0.634822,not
0.953167,0.892648,0.514407,0.318519,0.574901,not
0.96675,0.748452,0.561339,0.351909,0.591295,not
0.95725,0.762555,0.56786,0.362853,0.615819,not
0.960083,0.960083,0.538994,0.353713,0.628422,not
0.96975,0.935724,0.833645,0.364152,0.600681,not
0.95425,0.9369,0.74605,0.380031,0.62092,not
0.954833,0.885391,0.364573,0.386848,0.72609,not
0.9455,0.911118,0.464155,0.374212,0.632635,not
0.954083,0.920009,0.596302,0.398576,0.693417,not
0.96,0.907636,0.715636,0.382576,0.685198,not
0.954167,0.954167,0.828145,0.372484,0.657518,not
0.956083,0.860475,0.541781,0.40226,0.744748,not
0.960917,0.821429,0.263477,0.369856,1,not
0.9555,0.92365,0.143325,0.353249,1,not
0.966,0.900508,0.409322,0.348571,1,not
0.953583,0.854937,0.558997,0.352857,1,not
0.951917,0.900921,0.645943,0.362685,1,not
0.947917,0.930363,0.421296,0.359528,1,not
0.9535,0.9535,0.485745,0.358109,1,not
0.938534,0.889138,0.609224,0.345468,1,not
0.955,0.955,0.443393,0.355595,1,not
0.964917,0.964917,0.473686,0.346111,1,not
0.951667,0.934043,0.51108,0.346981,1,not
0.9485,0.912708,0.465302,0.328301,1,not
0.96575,0.947866,0.447106,0.330192,1,not
0.96275,0.96275,0.695319,0.332377,1,not
0.963917,0.963917,0.585235,0.324345,1,not
0.952583,0.952583,0.485278,0.353396,1,not
0.9435,0.9435,0.445047,0.358397,1,not
0.957333,0.957333,0.531852,0.350802,1,not
0.96425,0.96425,0.745929,0.351069,1,not
0.956,0.858449,0.819429,0.278231,1,not
0.961917,0.961917,0.782576,0.314435,0.615764,not
0.96925,0.96925,0.484625,0.361833,1,not
0.955417,0.955417,0.329454,0.409368,1,not
0.959083,0.942257,0.370173,0.387251,1,not
0.966833,0.966833,0.42405,0.408538,1,not
0.95925,0.95925,0.627873,0.405121,1,not
0.959917,0.959917,0.418873,0.410727,1,not
0.960167,0.960167,0.391179,0.428364,1,not
0.95175,0.95175,0.475875,0.392593,1,not
0.969833,0.969833,0.351147,0.436149,1,not
0.952083,0.952083,0.45904,0.435,1,not
0.9545,0.9545,0.511339,0.460774,1,not
0.959833,0.959833,0.454658,0.444532,1,not
0.96425,0.96425,0.609,0.434883,1,not
0.950583,0.883876,0.450276,0.360685,1,not
0.9665,0.950656,0.538705,0.30477,1,not
0.95825,0.892164,0.611297,0.282019,1,not
0.954083,0.885935,0.681488,0.284364,1,not
0.966333,0.949077,0.586702,0.300476,1,not
0.967583,0.933027,0.449235,0.329245,1,not
0.957167,0.957167,0.40027,0.334818,1,not
0.959167,0.959167,0.479583,0.324906,1,not
0.951583,0.934282,0.536347,0.320093,1,not
0.942583,0.872762,0.349105,0.337963,1,not
0.972167,0.919139,0.441894,0.3357,1,not
0.948583,0.878318,0.474292,0.333333,1,not
0.95675,0.88588,0.531528,0.320817,1,not
0.94725,0.857887,0.482561,0.310887,1,not
0.9585,0.90525,0.497,0.307778,0.933637,not
0.945583,0.859621,0.49858,0.321533,0.935841,not
0.943833,0.926355,0.506873,0.328109,1,not
0.957167,0.921716,0.584935,0.319615,1,not
0.955917,0.938536,0.677832,0.312562,1,not
0.959583,0.891042,0.719688,0.320939,1,not
0.962917,0.962917,0.625051,0.316212,1,not
0.958583,0.958583,0.504518,0.314795,1,not
0.923226,0.907839,0.353903,0.337398,1,not
0.963667,0.963667,0.131409,0.336389,1,not
0.964917,0.964917,0.425218,0.342931,1,not
0.96725,0.949978,0.44908,0.341935,1,not
0.950333,0.950333,0.458196,0.332768,1,not
