%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.947817,0.947817,0.680826,0.226854,0.583493,not
0.939599,0.939599,0.285965,0.235942,0.899466,not
0.959083,0.959083,0.0145316,0.36601,1,not
0.957083,0.885659,0.371405,0.299751,1,not
0.942375,0.927417,0.209417,0.316111,1,not
0.961167,0.961167,0.488212,0.31754,0.889254,not
0.969417,0.969417,0.656702,0.448607,0.769738,not
0.960667,0.960667,0.548952,0.429841,1,not
0.960167,0.960167,0.0619462,0.38836,1,not
0.938054,0.818936,0.342464,0.274754,1,not
0.957917,0.851481,0.425741,0.328056,1,not
0.962417,0.799546,0.429386,0.33776,1,not
0.946313,0.871208,0.270375,0.321323,1,not
0.936797,0.921927,0.193307,0.391693,1,not
0.950167,0.950167,0.0778825,0.322295,1,not
0.952,0.92225,0.4165,0.337725,1,not
0.89758,0.85739,0.214347,0.287786,1,not
0.958801,0.946185,0.0883106,0.293925,1,not
0.895189,0.88341,0.29447,0.277105,1,not
0.971583,0.971583,0.246134,0.302267,1,not
0.924025,0.899709,0.218848,0.249234,1,not
0.94671,0.921797,0.199307,0.31682,1,not
0.936521,0.83794,0.0739359,0.215856,1,not
0.96525,0.939162,0.221747,0.294064,1,not
0.937204,0.829065,0.252324,0.228114,1,not
0.93627,0.877753,0.210661,0.308312,1,not
0.901835,0.866237,0.237325,0.293553,1,not
0.925639,0.886527,0.130372,0.283756,1,not
0.960083,0.932652,0.178301,0.256377,1,not
0.966,0.8855,0.348833,0.309929,1,not
0.914257,0.862014,0.313459,0.239853,1,not
0.934387,0.814251,0.133484,0.283015,1,not
0.966583,0.907101,0.267669,0.459718,1,not
0.956,0.940825,0.242794,0.462831,1,not
0.960167,0.929685,0.289574,0.434563,1,not
0.953083,0.953083,0.257181,0.435317,1,not
0.954583,0.954583,0.151521,0.442698,1,not
0.948667,0.903492,0.286106,0.453634,1,not
0.95575,0.925883,0.253871,0.428651,1,not
0.958333,0.958333,0.15457,0.440538,1,not
0.957917,0.957917,0.324456,0.415188,1,not
0.958417,0.958417,0.247333,0.420349,1,not
0.95825,0.913332,0.269508,0.42526,1,not
0.959083,0.899141,0.269742,0.373028,1,not
0.96,0.871385,0.0590769,0.401393,0.98671,not
0.973167,0.914187,0.383369,0.394973,0.862967,not
0.962,0.8288,0.2664,0.405582,0.836027,not
0.959417,0.843124,0.218049,0.398522,1,not
0.969833,0.88031,0.313331,0.388495,1,not
0.95725,0.942056,0.364667,0.38664,1,not
0.948333,0.841263,0.183548,0.41112,1,not
0.954,0.923714,0.212,0.414418,1,not
0.96825,0.952881,0.199798,0.408495,1,not
0.9655,0.754297,0.181031,0.411444,1,not
0.953291,0.907164,0.399767,0.397542,1,not
0.96075,0.8845,0.22875,0.39328,1,not
0.945828,0.884807,0.396638,0.38475,1,not
0.963333,0.871587,0.229365,0.415611,0.965706,not
0.960083,0.929113,0.32519,0.418448,1,not
0.972917,0.880258,0.185317,0.418415,1,not
0.956917,0.833444,0.169776,0.40623,0.886,not
0.965167,0.859602,0.226211,0.404639,1,not
0.955333,0.877027,0.438514,0.383563,0.829145,not
0.949583,0.827056,0.306317,0.394788,0.945124,not
0.969333,0.846243,0.24618,0.405029,1,not
0.96825,0.829929,0.307381,0.40158,1,not
0.962167,0.870532,0.381812,0.411803,1,not
0.961,0.929492,0.441115,0.420198,1,not
0.968917,0.799741,0.246074,0.418602,1,not
0.964667,0.855753,0.295624,0.441848,1,not
0.959583,0.764668,0.404824,0.417712,1,not
0.927631,0.84456,0.26306,0.26505,1,not
0.903693,0.827325,0.407298,0.226275,1,not
0.96075,0.833592,0.381474,0.385667,1,not
0.965583,0.859973,0.316832,0.427876,1,not
0.963667,0.884678,0.473934,0.430374,1,not
0.958167,0.926228,0.526992,0.411161,1,not
0.961667,0.912768,0.554181,0.409454,1,not
0.947667,0.868694,0.505422,0.462655,1,not
0.947917,0.884722,0.236979,0.460402,1,not
0.957917,0.925986,0.399132,0.457111,1,not
